CODIGOTRX,COMUNA,LATITUD,LONGITUD,LINEA,ESTANDAR,TIPO,ESTANDAR_ESTACION_UNICA,CODIGO,COLOR
Agricola,MACUL,-33.491584,-70.617529,L5,CAMINO AGRICOLA,NORMAL,CAMINO AGRICOLA,AG,V
Alcantara,LAS CONDES,-33.415265,-70.589100,L1,ALCANTARA,NORMAL,ALCANTARA,AL,N
Baquedano L1,PROVIDENCIA,-33.437186,-70.635167,L1,BAQUEDANO L1,TRASBORDO,BAQUEDANO,BA,N
Baquedano L5,PROVIDENCIA,-33.437186,-70.635167,L5,BAQUEDANO L5,TRASBORDO,BAQUEDANO,BQ,C
Barrancas - L5,PUDAHUEL,-33.452915,-70.739112,L5,BARRANCAS,NORMAL,BARRANCAS,BR,R
Bellas Artes,SANTIAGO,-33.436611,-70.644520,L5,BELLAS ARTES,NORMAL,BELLAS ARTES,BE,C
Bilbao,LAS CONDES,-33.431486,-70.584639,L4,FRANCISCO BILBAO,NORMAL,FRANCISCO BILBAO,BIL,C
Bio Bio,SANTIAGO,-33.476402,-70.642491,L6,BIO BIO,NORMAL,BIO BIO,BIO,N
Blanqueado - L5,LO PRADO,-33.441505,-70.707321,L5,BLANQUEADO,NORMAL,BLANQUEADO,BL,R
Cal y Canto,SANTIAGO,-33.432885,-70.653216,L2,CAL Y CANTO,NORMAL,CAL Y CANTO,CA,C
Carlos Valdovino,SAN JOAQUIN,-33.485642,-70.619648,L5,CARLOS VALDOVINOS,NORMAL,CARLOS VALDOVINOS,CV,R
Cementerios,RECOLETA,-33.414073,-70.643565,L2,CEMENTERIOS,NORMAL,CEMENTERIOS,CE,R
Cerrillos,CERRILLOS,-33.483367,-70.696053,L6,CERRILLOS,NORMAL,CERRILLOS,CER,N
Cerro Blanco,RECOLETA,-33.422555,-70.644971,L2,CERRO BLANCO,NORMAL,CERRO BLANCO,CB,V
Ciudad del Nino,SAN MIGUEL,-33.510163,-70.656859,L2,CIUDAD DEL NINO,NORMAL,CIUDAD DEL NINO,CN,R
Colon,PROVIDENCIA,-33.426222,-70.590972,L4,CRISTOBAL COLON,NORMAL,CRISTOBAL COLON,COL,V
Del Sol - L5,MAIPU,-33.490060,-70.752861,L5,DEL SOL,NORMAL,DEL SOL,DS,V
Departamental,SAN MIGUEL,-33.502555,-70.654644,L2,DEPARTAMENTAL,NORMAL,DEPARTAMENTAL,DE,V
Dorsal,RECOLETA,-33.396800,-70.642680,L2,DORSAL,NORMAL,DORSAL,DO,R
Ecuador,ESTACION CENTRAL,-33.456046,-70.699669,L1,ECUADOR,NORMAL,ECUADOR,EC,N
Einstein,RECOLETA,-33.405733,-70.643138,L2,EINSTEIN,NORMAL,EINSTEIN,EI,V
El Golf,LAS CONDES,-33.416609,-70.595689,L1,EL GOLF,NORMAL,EL GOLF,GO,N
El LLano,SAN MIGUEL,-33.482500,-70.649655,L2,EL LLANO,NORMAL,EL LLANO,LL,R
El Parron,LA CISTERNA,-33.526531,-70.661422,L2,EL PARRON,NORMAL,EL PARRON,EP,V
Elisa Correa,PUENTE ALTO,-33.569406,-70.583613,L4,ELISA CORREA,NORMAL,ELISA CORREA,ECO,C
Escuela Militar,LAS CONDES,-33.414312,-70.584436,L1,ESCUELA MILITAR,NORMAL,ESCUELA MILITAR,EM,N
Estacion Central,ESTACION CENTRAL,-33.450969,-70.679166,L1,ESTACION CENTRAL,NORMAL,ESTACION CENTRAL,EL,N
Estadio Nacional,NUNOA,-33.462278,-70.606658,L6,ESTADIO NACIONAL,NORMAL,ESTADIO NACIONAL,ENA,N
Franklin,SANTIAGO,-33.473369,-70.649531,L2,FRANKLIN L2,TRASBORDO,FRANKLIN,FR,C
Franklin,SANTIAGO,-33.476669,-70.649976,L6,FRANKLIN L6,TRASBORDO,FRANKLIN,FRA,N
Gruta de Lourdes - L5,QUINTA NORMAL,-33.438060,-70.691284,L5,GRUTA DE LOURDES,NORMAL,GRUTA DE LOURDES,GL,V
Hernando de Magallanes - L1,LAS CONDES,-33.408000,-70.555597,L1,HERNANDO DE MAGALLANES,NORMAL,HERNANDO DE MAGALLANES,HM,N
Hospital Sotero del Rio,PUENTE ALTO,-33.576460,-70.582375,L4,HOSPITAL SOTERO DEL RIO,NORMAL,HOSPITAL SOTERO DEL RIO,HSR,C
Ines de Suarez,PROVIDENCIA,-33.438876,-70.607749,L6,INES DE SUAREZ,NORMAL,INES DE SUAREZ,IDS,N
Irarrazaval,NUNOA,-33.452436,-70.628893,L5,IRARRAZAVAL,NORMAL,IRARRAZAVAL,IR,C
La Cisterna L2,LA CISTERNA,-33.537712,-70.664074,L2,LA CISTERNA L2,TRASBORDO,LA CISTERNA,LC,C
La Cisterna L4A,LA CISTERNA,-33.537712,-70.664074,L4A,LA CISTERNA L4A,TRASBORDO,LA CISTERNA,LCI,N
La Florida,LA FLORIDA,-33.519896,-70.599777,L5,BELLAVISTA DE LA FLORIDA,NORMAL,BELLAVISTA DE LA FLORIDA,LF,C
La Granja,LA GRANJA,-33.541138,-70.615967,L4A,LA GRANJA,NORMAL,LA GRANJA,LGR,N
La Moneda,SANTIAGO,-33.445088,-70.654635,L1,LA MONEDA,NORMAL,LA MONEDA,LM,N
Laguna Sur - L5,PUDAHUEL,-33.462372,-70.737922,L5,LAGUNA SUR,NORMAL,LAGUNA SUR,LS,C
Las Mercedes,PUENTE ALTO,-33.602120,-70.577195,L4,LAS MERCEDES,NORMAL,LAS MERCEDES,LME,R
Las Parcelas - L5,MAIPU,-33.475204,-70.739753,L5,LAS PARCELAS,NORMAL,LAS PARCELAS,LP,V
